filename,seq_run,seq_sample,rna_conc_qbit,box_id,animal_id,diet,diet_kcal,region,hemisphere,experiment_start,time_of_euthanasia,experiment_duration,bw_i_pre,bw_i,bw_f,bw_change,bw_change_pct,bw_change_pct_ph,fw_i,fw_f,kcal_intake,power_intake,notes,name,qc
10_Fasting_Hip_right_S3,0010,S3,40.8,38,10,fast,0,HPF,right,2019-01-29T17:50:00Z,2019-01-30T10:00:00Z,16.166666666666668,NA,24.6,24.1,-0.5,-0.02032520325203252,-0.00125722906713603,0,0,0,0,NA,S0010_10_fast_HPF,ok
11_Fasting_Hip_right_S35,0010,S35,12.9,39,11,fast,0,HPF,right,2019-01-29T18:43:00Z,2019-01-30T10:43:00Z,16,NA,26.6,24.6,-2,-0.07518796992481203,-0.00469924812030075,0,0,0,0,NA,S0010_11_fast_HPF,fail STAR
12_Fasting_Hip_right_S77,0010,S77,12,39,12,fast,0,HPF,right,2019-01-29T18:43:00Z,2019-01-30T10:53:00Z,16.166666666666668,NA,23.1,21.6,-1.5,-0.06493506493506493,-0.00401660195474628,0,0,0,0,NA,S0010_12_fast_HPF,ok
7_Fasting_SC_left_S42,0010,S42,32.6,37,7,fast,0,SC,left,2019-01-29T16:49:00Z,2019-01-30T08:49:00Z,16,NA,23.9,23.3,-0.5999999999999979,-0.02510460251046016,-0.00156903765690376,0,0,0,0,NA,S0010_07_fast_SC,ok
8_Fasting_SC_left_S60,0010,S60,22.8,37,8,fast,0,SC,left,2019-01-29T16:49:00Z,2019-01-30T08:59:00Z,16.166666666666668,NA,23.1,22.8,-0.3000000000000007,-0.01298701298701301,-8.033203909492587e-4,0,0,0,0,NA,S0010_08_fast_SC,ok
9_Fasting_SC_left_S20,0010,S20,13.8,38,9,fast,0,SC,left,2019-01-29T17:50:00Z,2019-01-30T09:50:00Z,16,NA,24.1,23.5,-0.6000000000000014,-0.02489626556016603,-0.00155601659751037,0,0,0,0,NA,S0010_09_fast_SC,ok
10_Fasting_SC_right_S88,0010,S88,27.8,38,10,fast,0,SC,right,2019-01-29T17:50:00Z,2019-01-30T10:00:00Z,16.166666666666668,NA,24.6,24.1,-0.5,-0.02032520325203252,-0.00125722906713603,0,0,0,0,NA,S0010_10_fast_SC,fail STAR
11_Fasting_SC_right_S40,0010,S40,17.5,39,11,fast,0,SC,right,2019-01-29T18:43:00Z,2019-01-30T10:43:00Z,16,NA,26.6,24.6,-2,-0.07518796992481203,-0.00469924812030075,0,0,0,0,NA,S0010_11_fast_SC,ok
12_Fasting_SC_right_S12,0010,S12,5.8,39,12,fast,0,SC,right,2019-01-29T18:43:00Z,2019-01-30T10:53:00Z,16.166666666666668,NA,23.1,21.6,-1.5,-0.06493506493506493,-0.00401660195474628,0,0,0,0,NA,S0010_12_fast_SC,fail PCA
7_Fasting_IC_left_S19,0010,S19,16.1,37,7,fast,0,IC,left,2019-01-29T16:49:00Z,2019-01-30T08:49:00Z,16,NA,23.9,23.3,-0.5999999999999979,-0.02510460251046016,-0.00156903765690376,0,0,0,0,NA,S0010_07_fast_IC,ok
8_Fasting_IC_left_S32,0010,S32,12.3,37,8,fast,0,IC,left,2019-01-29T16:49:00Z,2019-01-30T08:59:00Z,16.166666666666668,NA,23.1,22.8,-0.3000000000000007,-0.01298701298701301,-8.033203909492587e-4,0,0,0,0,NA,S0010_08_fast_IC,ok
9_Fasting_IC_left_S83,0010,S83,0,38,9,fast,0,IC,left,2019-01-29T17:50:00Z,2019-01-30T09:50:00Z,16,NA,24.1,23.5,-0.6000000000000014,-0.02489626556016603,-0.00155601659751037,0,0,0,0,NA,S0010_09_fast_IC,ok
10_Fasting_IC_right_S2,0010,S2,36,38,10,fast,0,IC,right,2019-01-29T17:50:00Z,2019-01-30T10:00:00Z,16.166666666666668,NA,24.6,24.1,-0.5,-0.02032520325203252,-0.00125722906713603,0,0,0,0,NA,S0010_10_fast_IC,ok
11_Fasting_IC_right_S16,0010,S16,9.7,39,11,fast,0,IC,right,2019-01-29T18:43:00Z,2019-01-30T10:43:00Z,16,NA,26.6,24.6,-2,-0.07518796992481203,-0.00469924812030075,0,0,0,0,NA,S0010_11_fast_IC,ok
12_Fasting_IC_right_S37,0010,S37,38.8,39,12,fast,0,IC,right,2019-01-29T18:43:00Z,2019-01-30T10:53:00Z,16.166666666666668,NA,23.1,21.6,-1.5,-0.06493506493506493,-0.00401660195474628,0,0,0,0,NA,S0010_12_fast_IC,ok
7_Fasting_PFC_left_S51,0010,S51,33.6,37,7,fast,0,PFC,left,2019-01-29T16:49:00Z,2019-01-30T08:49:00Z,16,NA,23.9,23.3,-0.5999999999999979,-0.02510460251046016,-0.00156903765690376,0,0,0,0,NA,S0010_07_fast_PFC,ok
8_Fasting_PFC_left_S56,0010,S56,22.2,37,8,fast,0,PFC,left,2019-01-29T16:49:00Z,2019-01-30T08:59:00Z,16.166666666666668,NA,23.1,22.8,-0.3000000000000007,-0.01298701298701301,-8.033203909492587e-4,0,0,0,0,NA,S0010_08_fast_PFC,ok
9_Fasting_PFC_left_S79,0010,S79,11.9,38,9,fast,0,PFC,left,2019-01-29T17:50:00Z,2019-01-30T09:50:00Z,16,NA,24.1,23.5,-0.6000000000000014,-0.02489626556016603,-0.00155601659751037,0,0,0,0,NA,S0010_09_fast_PFC,fail PCA
10_Fasting_PFC_right_S62,0010,S62,11.5,38,10,fast,0,PFC,right,2019-01-29T17:50:00Z,2019-01-30T10:00:00Z,16.166666666666668,NA,24.6,24.1,-0.5,-0.02032520325203252,-0.00125722906713603,0,0,0,0,NA,S0010_10_fast_PFC,ok
11_Fasting_PFC_right_S82,0010,S82,0,39,11,fast,0,PFC,right,2019-01-29T18:43:00Z,2019-01-30T10:43:00Z,16,NA,26.6,24.6,-2,-0.07518796992481203,-0.00469924812030075,0,0,0,0,NA,S0010_11_fast_PFC,ok
12_Fasting_PFC_right_S52,0010,S52,31.8,39,12,fast,0,PFC,right,2019-01-29T18:43:00Z,2019-01-30T10:53:00Z,16.166666666666668,NA,23.1,21.6,-1.5,-0.06493506493506493,-0.00401660195474628,0,0,0,0,NA,S0010_12_fast_PFC,ok
13_Highfatdiet_Hyp_both_S57,0010,S57,38.6,40,13,HFD,5560,HY,both,2019-01-29T17:08:00Z,2019-01-30T09:08:00Z,16,NA,27.5,27.9,0.3999999999999986,0.01454545454545449,9.090909090909058e-4,495.1,489.4,15846.000000000127,990.375000000008,NA,S0010_13_HFD_HY,fail PCA
14_Highfatdiet_Hyp_both_S28,0010,S28,24.4,40,14,HFD,5560,HY,both,2019-01-29T17:08:00Z,2019-01-30T09:21:00Z,16.216666666666665,NA,26.1,26.5,0.3999999999999986,0.01532567049808423,9.450567624717928e-4,495.1,489.4,15846.000000000127,977.1428571428652,NA,S0010_14_HFD_HY,ok
15_Highfatdiet_Hyp_both_S18,0010,S18,12.3,41,15,HFD,5560,HY,both,2019-01-29T18:08:00Z,2019-01-30T10:08:00Z,16,NA,26.5,26.3,-0.1999999999999993,-0.00754716981132072,-4.716981132075455e-4,495,490.1,13621.999999999936,851.374999999996,OBS. Lost weight.,S0010_15_HFD_HY,ok
16_Highfatdiet_Hyp_both_S85,0010,S85,29.4,41,16,HFD,5560,HY,both,2019-01-29T18:08:00Z,2019-01-30T10:18:00Z,16.166666666666668,NA,24.2,24.3,0.10000000000000142,0.00413223140495873,2.556019425747672e-4,495,490.1,13621.999999999936,842.5979381443259,NA,S0010_16_HFD_HY,ok
17_Highfatdiet_Hyp_both_S26,0010,S26,24.6,42,17,HFD,5560,HY,both,2019-01-29T18:58:00Z,2019-01-30T10:58:00Z,16,NA,26.3,26.3,0,0,0,482.9,477.3,15567.999999999904,972.999999999994,NA,S0010_17_HFD_HY,ok
18_Highfatdiet_Hyp_both_S13,0010,S13,21.4,42,18,HFD,5560,HY,both,2019-01-29T18:58:00Z,2019-01-30T11:10:00Z,16.2,NA,25.5,25.3,-0.1999999999999993,-0.00784313725490193,-4.841442749939465e-4,482.9,477.3,15567.999999999904,960.9876543209818,OBS. Lost weight.,S0010_18_HFD_HY,ok
13_Highfatdiet_Hip_left_S73,0010,S73,47.4,40,13,HFD,5560,HPF,left,2019-01-29T17:08:00Z,2019-01-30T09:08:00Z,16,NA,27.5,27.9,0.3999999999999986,0.01454545454545449,9.090909090909058e-4,495.1,489.4,15846.000000000127,990.375000000008,NA,S0010_13_HFD_HPF,ok
14_Highfatdiet_Hip_left_S50,0010,S50,31.6,40,14,HFD,5560,HPF,left,2019-01-29T17:08:00Z,2019-01-30T09:21:00Z,16.216666666666665,NA,26.1,26.5,0.3999999999999986,0.01532567049808423,9.450567624717928e-4,495.1,489.4,15846.000000000127,977.1428571428652,NA,S0010_14_HFD_HPF,ok
15_Highfatdiet_Hip_left_S27,0010,S27,26.4,41,15,HFD,5560,HPF,left,2019-01-29T18:08:00Z,2019-01-30T10:08:00Z,16,NA,26.5,26.3,-0.1999999999999993,-0.00754716981132072,-4.716981132075455e-4,495,490.1,13621.999999999936,851.374999999996,OBS. Lost weight.,S0010_15_HFD_HPF,ok
16_Highfatdiet_Hip_right_S8,0010,S8,54.4,41,16,HFD,5560,HPF,right,2019-01-29T18:08:00Z,2019-01-30T10:18:00Z,16.166666666666668,NA,24.2,24.3,0.10000000000000142,0.00413223140495873,2.556019425747672e-4,495,490.1,13621.999999999936,842.5979381443259,NA,S0010_16_HFD_HPF,ok
17_Highfatdiet_Hip_right_S33,0010,S33,17.2,42,17,HFD,5560,HPF,right,2019-01-29T18:58:00Z,2019-01-30T10:58:00Z,16,NA,26.3,26.3,0,0,0,482.9,477.3,15567.999999999904,972.999999999994,NA,S0010_17_HFD_HPF,ok
18_Highfatdiet_Hip_right_S53,0010,S53,26.4,42,18,HFD,5560,HPF,right,2019-01-29T18:58:00Z,2019-01-30T11:10:00Z,16.2,NA,25.5,25.3,-0.1999999999999993,-0.00784313725490193,-4.841442749939465e-4,482.9,477.3,15567.999999999904,960.9876543209818,OBS. Lost weight.,S0010_18_HFD_HPF,ok
