Sample	Overlapping Genes	No Feature	Ambiguous Features	Multimapping	Unmapped
145_2_SCL_chow_S34	24825853.0	29276428.0	1169059.0	1995526.0	5830919.0
145_2_ZIL_chow_S11	18486461.0	13911335.0	854093.0	1910169.0	3288163.0
145_3_HIPL_fast_S45	57585862.0	58527940.0	2696833.0	4924938.0	8430896.0
145_3_Hyp_fast_S57	16467574.0	15680188.0	781520.0	1856060.0	3661347.0
145_3_ICL_fast_S22	13540477.0	1251701.0	717447.0	3568016.0	19527821.0
145_3_SCL_fast_S63	18536534.0	19300268.0	827497.0	1814462.0	5290627.0
145_3_ZIL_fast_S42	25940175.0	23612330.0	1197370.0	2386135.0	4065685.0
145_4_HIPL_fast_S17	42103726.0	43120775.0	1881670.0	3773491.0	8178242.0
145_4_Hyp_fast_S29	47606336.0	25105525.0	2275864.0	5204581.0	7973114.0
145_4_ICL_fast_S24	5309294.0	5909496.0	229037.0	549073.0	1946973.0
145_4_SCL_fast_S30	48688523.0	50145254.0	2218642.0	4424874.0	10939186.0
145_4_ZIL_fast_S5	5216921.0	912192.0	1025016.0	5333314.0	21413250.0
145_5_HIPL_fast_S58	14371634.0	13816782.0	652410.0	1272672.0	2699233.0
145_5_Hyp_fast_S17	6910059.0	992444.0	1453851.0	11842605.0	55923031.0
145_5_ICL_fast_S32	20055148.0	23872940.0	919461.0	1767240.0	8328475.0
145_5_SCL_fast_S18	38141953.0	42764097.0	1736374.0	3437364.0	9830048.0
145_5_ZIL_fast_S62	57103074.0	28561704.0	2501391.0	5552314.0	10318070.0
14_Highfatdiet_Hip_left_S50	16859248.0	23084287.0	773445.0	1859103.0	2114865.0
14_Highfatdiet_Hyp_both_S28	16201878.0	19462175.0	772934.0	1994922.0	1952151.0
14_Highfatdiet_IC_left_S58	15220574.0	19688809.0	736401.0	1746500.0	2444866.0
14_Highfatdiet_PFC_left_S75	15912350.0	19883444.0	727055.0	1715550.0	2097689.0
14_Highfatdiet_SC_left_S74	18743852.0	20498944.0	881327.0	2314821.0	2889404.0
15_Highfatdiet_Hip_left_S27	16894985.0	23140734.0	770576.0	1903223.0	2240555.0
15_Highfatdiet_Hyp_both_S18	19278033.0	21469650.0	906877.0	2701820.0	3027839.0
15_Highfatdiet_IC_left_S55	12191146.0	14304947.0	560272.0	1290353.0	1631069.0
15_Highfatdiet_PFC_left_S72	21699619.0	19604385.0	981857.0	2307852.0	2592750.0
15_Highfatdiet_SC_left_S41	18386772.0	20618697.0	862407.0	2189854.0	2448953.0
16_Highfatdiet_Hip_right_S8	9977963.0	12253039.0	450150.0	1021206.0	1128351.0
16_Highfatdiet_Hyp_both_S85	16966954.0	18379695.0	861430.0	2831448.0	4165674.0
16_Highfatdiet_IC_right_S46	17891026.0	19924094.0	848273.0	2043255.0	2269112.0
16_Highfatdiet_PFC_right_S76	33328495.0	40154442.0	1502989.0	3371453.0	4035176.0
16_Highfatdiet_SC_right_S59	14226973.0	19698192.0	663185.0	1602949.0	2544892.0
17_Highfatdiet_Hip_right_S33	28460682.0	41116634.0	1271904.0	2977026.0	3765757.0
17_Highfatdiet_Hyp_both_S26	15383803.0	19701237.0	759051.0	2008626.0	2454032.0
17_Highfatdiet_IC_right_S29	16606166.0	22535982.0	764288.0	1426604.0	1893535.0
17_Highfatdiet_PFC_right_S89	19230573.0	21143905.0	887645.0	2065287.0	2264087.0
17_Highfatdiet_SC_right_S64	18148511.0	24994022.0	849223.0	2074884.0	2549423.0
18_Highfatdiet_Hip_right_S53	14301026.0	18758168.0	649529.0	1544451.0	1761548.0
18_Highfatdiet_Hyp_both_S13	14038724.0	18169386.0	676837.0	1793294.0	2159378.0
18_Highfatdiet_IC_right_S70	13545894.0	17549173.0	661895.0	1580176.0	2246582.0
18_Highfatdiet_PFC_right_S48	17963590.0	22592440.0	815328.0	1834409.0	2351268.0
18_Highfatdiet_SC_right_S90	18775785.0	22974144.0	844986.0	2013276.0	2384195.0
1_Chow_Hip_left_S17	15395448.0	20246686.0	698819.0	1670692.0	1861977.0
1_Chow_Hyp_both_S80	19209510.0	25111530.0	943874.0	2504653.0	2716560.0
1_Chow_IC_left_S5	9372498.0	12620891.0	425714.0	984328.0	1215137.0
1_Chow_PFC_left_S1	23790252.0	28382963.0	1093808.0	2713777.0	3230254.0
1_Chow_SC_left_S21	27799864.0	37409636.0	1286300.0	3085012.0	4112231.0
2_Chow_Hip_left_S71	19656136.0	28876463.0	885008.0	2184093.0	2349099.0
2_Chow_Hyp_both_S44	45657731.0	57467455.0	2126284.0	5488745.0	6612305.0
2_Chow_IC_left_S14	15237463.0	19839213.0	728912.0	1561561.0	1861613.0
2_Chow_PFC_left_S63	19749563.0	19766520.0	917332.0	2178492.0	2470894.0
2_Chow_SC_left_S43	16721105.0	21491716.0	792515.0	1804463.0	2183747.0
3_Chow_Hip_left_S4	16956889.0	21455060.0	767537.0	1832329.0	2207976.0
3_Chow_Hyp_both_S78	32933724.0	40441227.0	1561551.0	4033282.0	5147678.0
3_Chow_IC_left_S67	24099022.0	36086544.0	1133979.0	2547197.0	3576612.0
3_Chow_PFC_left_S34	21538779.0	21351051.0	986160.0	2273273.0	2458375.0
3_Chow_SC_left_S87	13302908.0	17522063.0	611350.0	1327629.0	2017088.0
4_Chow_Hip_right_S68	683173.0	867038.0	47570.0	474233.0	3490177.0
4_Chow_Hyp_both_S25	16760410.0	21633550.0	805568.0	2175704.0	2650269.0
4_Chow_IC_right_S69	14913399.0	20207431.0	722841.0	1662565.0	2757166.0
4_Chow_PFC_right_S6	26660928.0	22892913.0	1218171.0	3015067.0	2818561.0
4_Chow_SC_right_S65	30325505.0	41901776.0	1394314.0	3392581.0	4530384.0
5_Chow_Hip_right_S54	50690303.0	71247926.0	2286847.0	5290154.0	6411131.0
5_Chow_Hyp_both_S84	15296306.0	18941157.0	737555.0	1835842.0	2317035.0
5_Chow_IC_right_S15	13464314.0	18962528.0	630471.0	1346631.0	1931856.0
5_Chow_PFC_right_S11	21252434.0	26154779.0	986529.0	2617065.0	3249256.0
5_Chow_SC_right_S47	17134613.0	23299796.0	809595.0	2045143.0	2472159.0
6_Chow_Hip_right_S86	18065819.0	23565788.0	827185.0	1839889.0	2395502.0
6_Chow_Hyp_both_S66	12707072.0	16705933.0	591366.0	1556153.0	2034596.0
6_Chow_IC_right_S22	17172041.0	25313853.0	800429.0	1853862.0	2392304.0
6_Chow_PFC_right_S61	11586917.0	13426491.0	532664.0	1289676.0	1580091.0
6_Chow_SC_right_S31	16780445.0	32977976.0	776331.0	1537479.0	2093888.0
7_Fasting_Hip_left_S45	21720514.0	30208071.0	990897.0	2240951.0	2593296.0
7_Fasting_Hyp_both_S49	15550068.0	19453343.0	731351.0	1871270.0	2172784.0
7_Fasting_IC_left_S19	14371925.0	20515821.0	664558.0	1484720.0	2092496.0
7_Fasting_PFC_left_S51	20032389.0	19229711.0	941973.0	2076968.0	2157664.0
7_Fasting_SC_left_S42	15601571.0	21540463.0	734112.0	1750371.0	2080597.0
8_Fasting_Hip_left_S38	16121764.0	22829683.0	729071.0	1642362.0	2038206.0
8_Fasting_Hyp_both_S9	38622452.0	48794910.0	1805383.0	5158901.0	5659947.0
8_Fasting_IC_left_S32	15062978.0	20987507.0	708837.0	1509876.0	2127025.0
8_Fasting_PFC_left_S56	62222181.0	71900889.0	2791792.0	6334436.0	7839572.0
8_Fasting_SC_left_S60	16021652.0	23107274.0	756951.0	1755449.0	2518848.0
9_Fasting_Hip_left_S36	18097167.0	24511267.0	805777.0	1980801.0	2770088.0
9_Fasting_Hyp_both_S39	16437663.0	19657646.0	782463.0	1986943.0	2154913.0
9_Fasting_IC_left_S83	16074416.0	19853762.0	766061.0	1774233.0	2515600.0
9_Fasting_PFC_left_S79	14884265.0	19023081.0	687558.0	1694159.0	1935298.0
9_Fasting_SC_left_S20	14106780.0	19653360.0	657686.0	1574868.0	2556594.0
Undetermined_S0	7530325.0	5553717.0	383689.0	1317060.0	26923909.0
