GSM,filename,name,seq_run,seq_sample,rna_conc_qbit,box_id,animal_id,diet,diet_kcal,region,hemisphere,experiment_start,time_of_euthanasia,experiment_duration,bw_i_pre,bw_i,bw_f,bw_change,bw_change_pct,bw_change_pct_ph,fw_i,fw_f,kcal_intake,power_intake,notes
GSM7517828,6_Chow_Hip_right_S86,S0010_06_chow_HPF,10.0,S86,0.0,36,6,chow,3227,HPF,right,2019-01-29T18:27:00Z,2019-01-30T10:33:00Z,16.1,,25.9,27.0,1.1000000000000014,0.0424710424710425,0.0026379529485119,713.6,706.4,11617.200000000072,721.5652173913088,
GSM7517799,1_Chow_SC_left_S21,S0010_01_chow_SC,10.0,S21,29.2,34,1,chow,3227,SC,left,2019-01-29T16:26:00Z,2019-01-30T08:26:00Z,16.0,,23.4,24.6,1.2000000000000028,0.0512820512820514,0.0032051282051282,741.7,734.4,11778.55000000011,736.1593750000069,
GSM7517805,1_Chow_SC_left_S21,S0010_01_chow_SC,10.0,S21,29.2,34,1,chow,3227,SC,left,2019-01-29T16:26:00Z,2019-01-30T08:26:00Z,16.0,,23.4,24.6,1.2000000000000028,0.0512820512820514,0.0032051282051282,741.7,734.4,11778.55000000011,736.1593750000069,
GSM7517811,1_Chow_SC_left_S21,S0010_01_chow_SC,10.0,S21,29.2,34,1,chow,3227,SC,left,2019-01-29T16:26:00Z,2019-01-30T08:26:00Z,16.0,,23.4,24.6,1.2000000000000028,0.0512820512820514,0.0032051282051282,741.7,734.4,11778.55000000011,736.1593750000069,
GSM7517817,1_Chow_SC_left_S21,S0010_01_chow_SC,10.0,S21,29.2,34,1,chow,3227,SC,left,2019-01-29T16:26:00Z,2019-01-30T08:26:00Z,16.0,,23.4,24.6,1.2000000000000028,0.0512820512820514,0.0032051282051282,741.7,734.4,11778.55000000011,736.1593750000069,
GSM7517823,1_Chow_SC_left_S21,S0010_01_chow_SC,10.0,S21,29.2,34,1,chow,3227,SC,left,2019-01-29T16:26:00Z,2019-01-30T08:26:00Z,16.0,,23.4,24.6,1.2000000000000028,0.0512820512820514,0.0032051282051282,741.7,734.4,11778.55000000011,736.1593750000069,
GSM7517800,2_Chow_SC_left_S43,S0010_02_chow_SC,10.0,S43,26.0,34,2,chow,3227,SC,left,2019-01-29T16:26:00Z,2019-01-30T08:36:00Z,16.166666666666668,,25.9,26.0,0.1000000000000014,0.0038610038610039,0.00023882498109302567,741.7,734.4,11778.55000000011,728.5701030927903,
GSM7517806,2_Chow_SC_left_S43,S0010_02_chow_SC,10.0,S43,26.0,34,2,chow,3227,SC,left,2019-01-29T16:26:00Z,2019-01-30T08:36:00Z,16.166666666666668,,25.9,26.0,0.1000000000000014,0.0038610038610039,0.00023882498109302567,741.7,734.4,11778.55000000011,728.5701030927903,
GSM7517812,2_Chow_SC_left_S43,S0010_02_chow_SC,10.0,S43,26.0,34,2,chow,3227,SC,left,2019-01-29T16:26:00Z,2019-01-30T08:36:00Z,16.166666666666668,,25.9,26.0,0.1000000000000014,0.0038610038610039,0.00023882498109302567,741.7,734.4,11778.55000000011,728.5701030927903,
GSM7517818,2_Chow_SC_left_S43,S0010_02_chow_SC,10.0,S43,26.0,34,2,chow,3227,SC,left,2019-01-29T16:26:00Z,2019-01-30T08:36:00Z,16.166666666666668,,25.9,26.0,0.1000000000000014,0.0038610038610039,0.00023882498109302567,741.7,734.4,11778.55000000011,728.5701030927903,
